"","artist","album","track_name","track_id","Positive","Tense","Awake","Familiar","Engaging","Pleasant","Activating","Energising","Comforting","Absorbing","Distracting","Sleep.Preventing","Liked"
"1","220 KID","Too Many Nights","Too Many Nights","6xB0rPxU3ncmMPgGDaD24M",1.66666666666667,1.39393939393939,3.24242424242424,1.66666666666667,1.15151515151515,1,2.75757575757576,2.93939393939394,0.121212121212121,0.151515151515152,1,3.21212121212121,0.696969696969697
"2","Avicii","Stories","Waiting For Love","2P4OICZRVAQcYAV2JReRfj",1.48275862068966,1.82758620689655,3.58620689655172,2.03448275862069,0.793103448275862,0.620689655172414,2.68965517241379,2.75862068965517,-0.172413793103448,0,1.86206896551724,3.48275862068966,0.206896551724138
"3","Band of Horses","Acoustic at The Ryman (Live)","The Funeral - Live Acoustic","1jKvrkkZxtQ7ZDiXdITOis",0.590909090909091,0.227272727272727,1.86363636363636,0.636363636363636,0.272727272727273,0.909090909090909,0.636363636363636,0.772727272727273,0.636363636363636,0.772727272727273,0.772727272727273,1.5,0.5
"4","Bud Hollister","The Stillness Within","The Stillness Within","5UiAjkZAj7kftDzllNzGtP",1.57692307692308,-1.88461538461538,-0.769230769230769,0.5,0.192307692307692,1.88461538461538,-2.03846153846154,-1.07692307692308,2.07692307692308,1.38461538461538,-1.34615384615385,-1.34615384615385,1.11538461538462
"5","Clean Bandit","Tick Tock (feat. 24kGoldn)","Tick Tock (feat. 24kGoldn)","27u7t9d7ZQoyjsCROHuZJ3",1.87096774193548,0.0967741935483871,3,2,1.25806451612903,1.25806451612903,2.48387096774194,2.41935483870968,0.838709677419355,0.774193548387097,0.967741935483871,2.7741935483871,0.967741935483871
"6","Dan Evans-Parker","Hush","Hush","1DaqNS1d8PFJ3SmYl1lb0y",0.173913043478261,-1.82608695652174,-1.39130434782609,0.347826086956522,0.217391304347826,1.39130434782609,-2.26086956521739,-1.82608695652174,1.60869565217391,1.21739130434783,-0.826086956521739,-1.56521739130435,1.47826086956522
"7","Janet Jackson","Rhythm Nation 1814","Rhythm Nation","4nTYxxF8iWBq54LO3dBUie",0.483870967741935,2.03225806451613,2.80645161290323,0.580645161290323,1.41935483870968,0.354838709677419,2.87096774193548,2.64516129032258,-0.645161290322581,-0.193548387096774,1.90322580645161,3.2258064516129,-0.129032258064516
"8","Max Huber","When You Love Someone (Piano Version)","When You Love Someone - Piano Version","6Es161hxX0X1cTc1TgBkj1",1.92592592592593,-2.48148148148148,-0.814814814814815,2.11111111111111,0.666666666666667,2.07407407407407,-2.25925925925926,-1.14814814814815,2.22222222222222,1.62962962962963,-1.14814814814815,-0.888888888888889,2.03703703703704
"9","Max Richter","From Sleep","Dream 13 (minus even)","6CZQOWmIA9GymbjdaEJcGu",2.22222222222222,-2.48148148148148,-1.48148148148148,1.22222222222222,1.07407407407407,2.33333333333333,-2.62962962962963,-1.59259259259259,2.48148148148148,1.55555555555556,-1.62962962962963,-2.14814814814815,2
"10","Max Richter","From Sleep","Dream 3 (in the midst of my life)","1fetTbR2on5hKEE8K9oelC",0.823529411764706,-1.29411764705882,-1.29411764705882,0.470588235294118,0.764705882352941,1.52941176470588,-2.23529411764706,-2.05882352941176,1.47058823529412,1.58823529411765,-1,-1.47058823529412,1.82352941176471
